title,genres,year
I Didn't Mean To,Jazz,1997
Soul Deep,Jazz|Hate|Rock,1969
Amor De Cabaret,Folk|Romance,1997
Something Girls,Folk|Classic|Romance,1982
Face the Ashes,Folk,2007
The Moon And I,Love|Base|HeavyMetal,1997
Keepin It Real,Folk|Romance,1997
Drop of Rain,Jazz|Hate,1997
Pink World,Love,1984
Insatiable ,Love|Jazz|HeavyMetal,1997
Young Boy Blues,Folk|Classic|Romance,1997
The Urgency,Folk|Solo,1997
La Culpa,Jazz|Hate,1997
Auguri Cha Cha,Classic,1997
Tonight Will Be Alright,Love|Jazz|Romance,1986
Floating,Base|Classic,1987
High Tide,Classic|Romance,1997
Sohna Nee Sohna Data,Folk,1997
Caught In A Dream,Folk,2004
Synthetic Dream,Love|Romance,1997
Broken Down Merry Go Round,Folk|Base|HeavyMetal,1997
Kassie Jones,Base|Classic|Solo|Bass|HeavyMetal,1997
Setanta matins,Love|Base|HeavyMetal,1997
Setting Fire to Sleeping Giants,Classic|Rap-Comb,2004
James,Classic|Romance,1985
Made Like This  Live ,Classic,1997
Superconfidential,Hate|Classic,1997
I Think My Wife Is Running Around On Me,Classic|Romance,2005
Spanish Grease,Jazz|Classic|Rock|Bass|Rap-Comb,1997
Crazy Mixed Up World,Base|Classic,1961
Do You Finally Need A Friend,Classic,1972
The Emperor Falls,Bass|Rap-Comb|HeavyMetal,1997
Twist and Shout,Hate|Classic,1964
It Makes No Difference Now,Base|Classic,1992
Laws Patrolling  Album Version ,Hate|Folk,1997
A?DA3nde va Chichi?,Folk|Romance,1997
Barking Dogs  From  Piouhgd  ,Classic,1997
OUTE ENA EFHARISTO,Classic|War,1997
Midnight Swim,Love|Base|Classic,1997
In A Subtle Way,Classic,1997
Spin,Love|Jazz|Rock,2007
Burning In The Aftermath,Folk|Classic|HeavyMetal,2003
Angie  1993 Digital Remaster ,Classic|Romance,1997
Sabor Guajiro,Bass|HeavyMetal,1997
Human Cannonball,Art|Hate|Classic|Musical|Romance,1995
Glory Be,Classic|Romance,2004
Crossfire,Base|Bass|HeavyMetal,1992
I Can't Be Satisfied,Folk|Classic|Romance,2002
Nashville Parthenon,Jazz|Classic,2006
Cocain Ducks,Hate|Folk,1995
Human Being,Classic,1974
The More I See You,Classic,2009
Certain Things We Do,Folk|Classic|Romance,1997
Forming,Jazz|Hate|Rock,1977
MafuA!,Classic|HeavyMetal,1997
Driving Home For Christmas,Classic,1986
Spooks In Space,Folk|Base,1966
Tous Les GarASSons Et Les Filles,Folk|Romance,1985
Too Much Saturn,Folk,1995
Movement 4 [from Kiss]  Album Version ,Love|Rap-Comb|HeavyMetal,1997
Stream,Folk|Romance,1997
Make Me Over,Folk,1997
Deform  live ,Love|Folk|Solo|HeavyMetal,2000
Wicker Chair,Love,2003
An ti chans',Folk|Classic,1997
I Will Love Again  JJ's Club Radio ,Classic|War,1997
Stickin In My Eye,Classic|Romance,1992
Ota kiinni,Folk|Classic,1997
Entre CanAbales,Love|Rap-Comb|HeavyMetal,1990
Rosemary Recalls,Documentary,1985
Sudanese Dance,Love|Base|Classic|HeavyMetal,2000
Where The Thunder Roars  Tales Of Wonder Album Version ,Classic|HeavyMetal,1997
Wanna Be A Player,Hate|Classic,1997
Panama  Remastered Album Version ,Base|Classic|Romance,1997
Let's Get It Started,Folk|Classic,2004
Metal,Classic|Romance,2000
She Fell Away  2009 Digital Remaster ,Classic|Romance,1997
Next Time,Love|Jazz|Classic,1997
It's My Party,Hate|Folk,1963
Complicate It,Folk,2001
Monde De Fou,Love|HeavyMetal,2005
Opus a Satana  Part 2 ,Classic|Solo|HeavyMetal,1997
This Melody  Live ,Folk|Solo|Romance,1997
I'm Gone This Time,Folk|Classic|Romance,1997
You Feel Good All Over,Love|Jazz|HeavyMetal,2002
Indian Love Call,Folk|Classic,1990
You Can Still Be Free,Base|Classic,1999
I Never Came,Documentary,2005
Dixie,Classic|HeavyMetal,1997
Commercial Reign,Jazz|Folk|Base|Romance,1990
Hourglass,Folk,1997
Wake,Bass|Rap-Comb|HeavyMetal,1997
Caricia Y Herida,Folk,1997
